acceleration_deg_s2,probability,weighted_contribution_to_mean
-280.0,0.960146765058,-268.841094216
-273.7,0.000000593036,-0.000162314
-230.9,0.000000683164,-0.000157743
-189.8,0.000000785944,-0.000149172
-150.5,0.000000902987,-0.000135900
-112.8,0.000001036083,-0.000116870
-76.9,0.000001187218,-0.000091297
-42.7,0.000001358593,-0.000058012
-10.2,0.000001552642,-0.000015837
20.5,0.000001772052,0.000036327
49.6,0.000002019783,0.000100181
76.9,0.000002299090,0.000176800
102.5,0.000002613547,0.000267889
126.3,0.000002967070,0.000374741
148.5,0.000003363940,0.000499545
168.9,0.000003808831,0.000643312
187.6,0.000004306836,0.000807962
204.6,0.000004863490,0.000995070
219.9,0.000005484799,0.001206107
233.4,0.000006177269,0.001441774
245.2,0.000006947928,0.001703632
255.3,0.000007804359,0.001992453
263.7,0.000008754719,0.002308619
270.3,0.000009807769,0.002651040
275.2,0.000010972898,0.003019742
278.4,0.000012260142,0.003413224
279.9,0.000013680209,0.003829090
280.0,0.039735230544,11.125864552
